"","system.index","HH","OBJECTID","ORIG_FID","Shape_Leng","flowid","newID","pid",".geo","HHbinary","cumHH"
"740691","18_00003f297e8e2ec1b4ec",-17.0298233032227,35277,178,35815.9353517,178,18,53,"{""type"":""Point"",""coordinates"":[-19.281818038502713,79.63583842476201]}",1,114
"741175","18_00002db696b5118b9702",-18.3456230163574,33288,168,34865.5286479,168,18,54,"{""type"":""Point"",""coordinates"":[-19.316239620514278,79.63165171194923]}",1,120
"741838","18_00006febbdba216c70e0",-4.22567796707153,25130,127,32908.876993,127,18,55,"{""type"":""Point"",""coordinates"":[-19.467551342555048,79.62026481262903]}",1,121
"741970","18_000018a524d5855a1908",-13.5999794006348,26325,133,33010.2126974,133,18,56,"{""type"":""Point"",""coordinates"":[-19.444917592190933,79.61914441251241]}",1,121
"741674","18_00007ce0c4401a473fcc",-6.24134540557861,26525,134,33027.0023544,134,18,57,"{""type"":""Point"",""coordinates"":[-19.44298329180433,79.61774372761975]}",1,112
"741819","18_0000f6d08c8bd2184ae4",-6.87917518615723,26526,134,33027.0023544,134,18,58,"{""type"":""Point"",""coordinates"":[-19.445272796711745,79.6163579415121]}",1,106
"741813","18_000094afac14204e8488",-11.0687885284424,26527,134,33027.0023544,134,18,59,"{""type"":""Point"",""coordinates"":[-19.44771246162529,79.61491480894209]}",1,106
"728307","18_000092dc035da88a5b91",-17.6885757446289,20757,105,32089.2898778,105,18,60,"{""type"":""Point"",""coordinates"":[-19.567146386195954,79.60974748210842]}",1,95
"728326","18_00000cd087a967a5865a",-13.4125461578369,20559,104,32046.7822416,104,18,61,"{""type"":""Point"",""coordinates"":[-19.573456821477844,79.60814724954918]}",1,92
"728324","18_00000ac526457e699c73",-15.5516786575317,20759,105,32089.2898778,105,18,62,"{""type"":""Point"",""coordinates"":[-19.57200368719146,79.6070013603301]}",1,97
"728313","18_0000918d5ea40355a5d1",-17.8332748413086,21556,109,32259.5664089,109,18,63,"{""type"":""Point"",""coordinates"":[-19.55873532911828,79.60638104965152]}",1,93
"728280","18_000041c307bd378589cd",-8.07491970062256,21557,109,32259.5664089,109,18,64,"{""type"":""Point"",""coordinates"":[-19.56100694838507,79.60499441227196]}",1,99
"728355","18_0000ab4a031f3e7728c0",-14.4174728393555,20762,105,32089.2898778,105,18,65,"{""type"":""Point"",""coordinates"":[-19.57912717572216,79.60286838665499]}",1,99
"728226","18_000014d114d3a5176727",-15.9242238998413,24544,124,32847.5531035,124,18,66,"{""type"":""Point"",""coordinates"":[-19.506298598669755,79.60461687980892]}",1,112
"738023","18_00006925b6fc1cd4f0de",-6.61769533157349,25540,129,32943.0953243,129,18,67,"{""type"":""Point"",""coordinates"":[-19.48758334111213,79.6033441554033]}",1,111
"738003","18_000070d81f8e4829735d",-9.91896343231201,25541,129,32943.0953243,129,18,68,"{""type"":""Point"",""coordinates"":[-19.490096467184188,79.60194303741672]}",1,121
"738083","18_0000c6caad3c7d45f350",-15.8854885101318,28328,143,33270.3640196,143,18,69,"{""type"":""Point"",""coordinates"":[-19.43542039453594,79.60169525204137]}",1,141
"738086","18_0000541e09af7b80d2cc",-15.3720111846924,28329,143,33270.3640196,143,18,70,"{""type"":""Point"",""coordinates"":[-19.43762524620228,79.6002671303717]}",1,131
"738087","18_00004a88498323391f1b",-7.52027702331543,28529,144,33325.9209052,144,18,71,"{""type"":""Point"",""coordinates"":[-19.436502978984162,79.599148030118]}",1,132
"738113","18_0000598ee57f78173706",-11.4879322052002,29326,148,33548.7956026,148,18,72,"{""type"":""Point"",""coordinates"":[-19.424771577728613,79.59890093158019]}",1,126
"738104","18_00006f63a98fabbf3ee5",-12.8828296661377,29725,150,33660.6167438,150,18,73,"{""type"":""Point"",""coordinates"":[-19.420242131724816,79.59804827597033]}",1,128
"737948","18_00002e72d5e4cb60ee71",-17.1980438232422,26144,132,32993.4271596,132,18,74,"{""type"":""Point"",""coordinates"":[-19.49158861171878,79.59355334525694]}",1,124
"737954","18_000086743272649d5c37",-15.2845640182495,25548,129,32943.0953243,129,18,75,"{""type"":""Point"",""coordinates"":[-19.506642654176606,79.59201020124044]}",1,125
"737800","18_0000b24ff64a912521ba",-11.2579479217529,25748,130,32959.8684668,130,18,76,"{""type"":""Point"",""coordinates"":[-19.504787432475915,79.5906522175978]}",1,126
"737801","18_00000c26b50a9bdcc6f1",-15.5543651580811,25948,131,32976.6457474,131,18,77,"{""type"":""Point"",""coordinates"":[-19.503082787718185,79.58923686551331]}",1,123
"738178","18_0000a7f5fe53b41876df",-18.2413539886475,29531,149,33604.6744562,149,18,78,"{""type"":""Point"",""coordinates"":[-19.435206489129286,79.59051179487997]}",1,123
"737854","18_00004659353bb7a80f23",-13.5800132751465,27343,138,33094.2020484,138,18,79,"{""type"":""Point"",""coordinates"":[-19.47810018390449,79.58660638408121]}",1,130
"737862","18_00007586d9d11d2a65fd",-15.7829933166504,28140,142,33214.8724996,142,18,80,"{""type"":""Point"",""coordinates"":[-19.464753181551515,79.5856556073931]}",1,130
"737849","18_0000d377f9a56c14ec04",-10.9749641418457,28141,142,33214.8724996,142,18,81,"{""type"":""Point"",""coordinates"":[-19.466950637689404,79.58422726081584]}",1,116
"737847","18_0000abfcd0f5ea5edf8f",-18.0355110168457,28341,143,33270.3640196,143,18,82,"{""type"":""Point"",""coordinates"":[-19.465744838219553,79.58306588513636]}",1,129
"737842","18_00007691694ede6d5f19",-18.0069160461426,28143,142,33214.8724996,142,18,83,"{""type"":""Point"",""coordinates"":[-19.471576025413015,79.58135553842827]}",1,132
"736393","18_000041f251552d30f362",-15.9485177993774,27945,141,33159.4466734,141,18,84,"{""type"":""Point"",""coordinates"":[-19.477637534657326,79.5796300986042]}",1,133
"736396","18_000098e2f1b082a58d99",-15.5090007781982,27946,141,33159.4466734,141,18,85,"{""type"":""Point"",""coordinates"":[-19.479914096487416,79.57824401584388]}",1,125
"736478","18_0000db028c97773c63dd",-11.3561220169067,27748,140,33127.8264478,140,18,86,"{""type"":""Point"",""coordinates"":[-19.486301008349322,79.57668784924768]}",1,130
"736476","18_000057288dea83c07e5f",-14.5764541625977,27749,140,33127.8264478,140,18,87,"{""type"":""Point"",""coordinates"":[-19.488725753319063,79.57524435046204]}",1,122
"736464","18_00007aea33de4d885292",-12.5146865844727,27551,139,33111.0122073,139,18,88,"{""type"":""Point"",""coordinates"":[-19.49535600224621,79.57381507287673]}",1,117
"736534","18_0000cf1ec583559d69c0",-13.2295246124268,27353,138,33094.2020484,138,18,89,"{""type"":""Point"",""coordinates"":[-19.501670228436254,79.57235829828848]}",1,116
"736530","18_0000cd6d0763654405df",-16.162467956543,26956,136,33060.5940006,136,18,90,"{""type"":""Point"",""coordinates"":[-19.51265169922294,79.5708853944725]}",1,120
"736527","18_0000b0a15530bd545d76",-14.8870525360107,26559,134,33027.0023544,134,18,91,"{""type"":""Point"",""coordinates"":[-19.523398139602627,79.56942712118047]}",1,110
"737075","18_0000972e052084270345",-17.594352722168,26560,134,33027.0023544,134,18,92,"{""type"":""Point"",""coordinates"":[-19.525666418636437,79.56804069505229]}",1,114
"737063","18_0000cb7dbbbf222bc80b",-15.3864517211914,25765,130,32959.8684668,130,18,93,"{""type"":""Point"",""coordinates"":[-19.544964337834383,79.56655181010346]}",1,110
"737046","18_00007b0c9169cacc3eb9",-15.6107892990112,25567,129,32943.0953243,129,18,94,"{""type"":""Point"",""coordinates"":[-19.551581396347693,79.56512133495102]}",1,111
"736743","18_0000633655e2ebb0a328",-17.9053115844727,25568,129,32943.0953243,129,18,95,"{""type"":""Point"",""coordinates"":[-19.553994457985937,79.56367731867562]}",1,103
"736746","18_00000cb95525abc9bc8a",-16.6318969726562,25370,128,32926.3263263,128,18,96,"{""type"":""Point"",""coordinates"":[-19.5606084656308,79.56224664954904]}",1,110
"736883","18_0000a956d73e2df58610",-13.2181835174561,24973,126,32888.4310373,126,18,97,"{""type"":""Point"",""coordinates"":[-19.57142172232388,79.5608290618223]}",1,100
"736876","18_0000971ee1d0890001c5",-14.3622007369995,24974,126,32888.4310373,126,18,98,"{""type"":""Point"",""coordinates"":[-19.573599415147697,79.55939994143675]}",1,98
"736877","18_00001c59bc80dcb90290",-12.4282035827637,25174,127,32908.876993,127,18,99,"{""type"":""Point"",""coordinates"":[-19.571890558880533,79.5579849254592]}",1,115
"736796","18_00000fdbfea74b3345de",-14.7828159332275,25175,127,32908.876993,127,18,100,"{""type"":""Point"",""coordinates"":[-19.574149940782828,79.55659813565906]}",1,97
"736795","18_0000db2e9a9c9f629db2",-13.1519079208374,25375,128,32926.3263263,128,18,101,"{""type"":""Point"",""coordinates"":[-19.572359140871438,79.55514078143707]}",1,106
"736800","18_00005895dffbf61a8658",-16.2008209228516,25177,127,32908.876993,127,18,102,"{""type"":""Point"",""coordinates"":[-19.578816081811333,79.55376710847717]}",1,87
"736809","18_0000b3c9d50600f1da35",-17.071418762207,25178,127,32908.876993,127,18,103,"{""type"":""Point"",""coordinates"":[-19.581222775550327,79.5523228687475]}",1,101
"734564","18_000080d2e325faef994f",-16.9083786010742,25975,131,32976.6457474,131,18,104,"{""type"":""Point"",""coordinates"":[-19.566542143592315,79.55094081107801]}",1,99
"734559","18_0000421945a364dfd08a",-16.5119667053223,26374,133,33010.2126974,133,18,105,"{""type"":""Point"",""coordinates"":[-19.560407656760933,79.54952747951585]}",1,117
"734556","18_0000481c55931403a740",-17.9190196990967,26375,133,33010.2126974,133,18,106,"{""type"":""Point"",""coordinates"":[-19.562898145485956,79.5481257165959]}",1,105
"734543","18_000034f43982b6ebbd97",-18.0448265075684,27371,138,33094.2020484,138,18,107,"{""type"":""Point"",""coordinates"":[-19.544030424513497,79.54672926184918]}",1,116
"734686","18_0000c87d6c2626f70061",-17.9222545623779,28168,142,33214.8724996,142,18,108,"{""type"":""Point"",""coordinates"":[-19.530086396165697,79.54558452998349]}",1,134
"734689","18_00006aab3195c1fe3749",-16.5594158172607,28766,145,33381.5428299,145,18,109,"{""type"":""Point"",""coordinates"":[-19.52114547905991,79.5447345309162]}",1,115
"734666","18_00001e2a9531c5ddb40a",-16.9433135986328,29165,147,33492.9805005,147,18,110,"{""type"":""Point"",""coordinates"":[-19.515908155724652,79.54364411787894]}",1,133
