"","system.index","HH","OBJECTID","ORIG_FID","flowid","newID","pid",".geo","cumHH"
"17288","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000037c478fcef452f58",1,3092,15,16,0,106,"{""type"":""Point"",""coordinates"":[-20.281039769543785,79.69981069120402]}",2
"17283","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000063386fdb87a42c8",1,2695,13,14,0,107,"{""type"":""Point"",""coordinates"":[-20.28120260013722,79.69807550644158]}",0
"18766","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000f124161571d87b23",-1,109,0,1,0,108,"{""type"":""Point"",""coordinates"":[-20.293409590418776,79.68705857700517]}",-1
"18872","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00007d29a2e760995762",1,1901,9,10,0,109,"{""type"":""Point"",""coordinates"":[-20.28144176265819,79.69456298571606]}",0
"17311","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000357f575f7e1df8ce",1,2499,12,13,0,110,"{""type"":""Point"",""coordinates"":[-20.275894163956618,79.69704019026163]}",1
"18763","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00009c57e8b8d323df01",-1,112,0,1,0,111,"{""type"":""Point"",""coordinates"":[-20.286365318268373,79.68685810106194]}",-1
"18762","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003615aeb08241f35d",-1,113,0,1,0,112,"{""type"":""Point"",""coordinates"":[-20.2840663431923,79.68677200144833]}",-1
"17146","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000011ae8c7bb915769f",1,3895,19,20,0,113,"{""type"":""Point"",""coordinates"":[-20.26255332101559,79.70271791531069]}",2
"18780","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005381c2356e373e10",-1,115,0,1,0,114,"{""type"":""Point"",""coordinates"":[-20.279468507878406,79.68659975224517]}",-1
"18781","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00006dbd8f595e664049",1,116,0,1,0,115,"{""type"":""Point"",""coordinates"":[-20.27702244745967,79.68657131809408]}",1
"18790","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005368451ad1273d97",1,515,2,3,0,116,"{""type"":""Point"",""coordinates"":[-20.272813929091573,79.68814517561744]}",1
"18786","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000843d71906821bdb4",1,317,1,2,0,117,"{""type"":""Point"",""coordinates"":[-20.271469876392107,79.68722897410953]}",2
"18787","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00005293e0f4b9bde9b3",1,318,1,2,0,118,"{""type"":""Point"",""coordinates"":[-20.269170942966483,79.68714276663059]}",2
